Ilosc unieszkodliwiona [kg],Ilosc zinwentaryzowana [kg],Nazwa Gminy,Pozostala do unieszkodliwienia [kg],TERYT
2035808.00,6617979.98,Parczew,4582171.98,061304
0.00,1210.00,Podedwórze,1210.00,061305
429993.20,2107642.86,Siemień,1677649.66,061306
162206.00,2129372.80,Sosnowica,1967166.80,061307
152636.83,1079419.24,Puławy,926782.41,061401
322571.20,1926604.35,Baranów,1604033.15,061402
9530.00,1990663.00,Janowiec,1981133.00,061403
7814.95,1511658.57,Kazimierz Dolny,1503843.62,061404
0.00,7252725.17,Końskowola,7252725.17,061405
50569.00,4244428.23,Kurów,4193859.23,061406
147580.80,1842650.80,Markuszów,1695070.00,061407
1400.00,3856244.51,Nałęczów,3854844.51,061408
38446.00,5570454.00,Puławy,5532008.00,061409
3377.00,3952370.00,Wąwolnica,3948993.00,061410
301031.00,5255288.00,Żyrzyn,4954257.00,061411
18524.00,665395.18,Radzyń Podlaski,646871.18,061501
83336.00,7062528.00,Borki,6979192.00,061502
386992.50,3639245.00,Czemierniki,3252252.50,061503
658383.00,9806882.20,Kąkolewnica,9148499.20,061504
43186.00,6592473.00,Komarówka Podlaska,6549287.00,061505
326736.04,6946430.34,Radzyń Podlaski,6619694.30,061506
70278.00,5215627.00,Ulan-Majorat,5145349.00,061507
1474.00,211387.00,Wohyń,209913.00,061508
438688.00,1664893.00,Dęblin,1226205.00,061601
400170.00,7254009.17,Kłoczew,6853839.17,061602
24079.00,1382251.00,Nowodwór,1358172.00,061603
909288.00,10838765.75,Ryki,9929477.75,061604
11021.00,53179.00,Stężyca,42158.00,061605
286484.00,2035118.00,Ułęż,1748634.00,061606
488030.76,2054526.76,Świdnik,1566496.00,061701
55218.90,7159700.90,Mełgiew,7104482.00,061702
473.00,9185452.00,Piaski,9184979.00,061703
17607.17,2848173.81,Rybczewice,2830566.64,061704
0.00,4881206.00,Trawniki,4881206.00,061705
125638.00,1572854.50,Tomaszów Lubelski,1447216.50,061801
93501.10,789682.30,Bełżec,696181.20,061802
0.00,2097062.00,Jarczów,2097062.00,061803
84579.00,3165078.00,Krynice,3080499.00,061804
10000.64,185060.58,Lubycza Królewska,175059.94,061805
476077.80,4594024.80,Łaszczów,4117947.00,061806
147990.00,1954103.00,Rachanie,1806113.00,061807
691594.30,4483805.80,Susiec,3792211.50,061808
310420.00,2772858.00,Tarnawatka,2462438.00,061809
0.00,2677955.83,Telatyn,2677955.83,061810
842341.50,8337375.00,Tomaszów Lubelski,7495033.50,061811
104215.00,3315746.00,Tyszowce,3211531.00,061812
27474.00,2329312.48,Ulhówek,2301838.48,061813
107882.80,627418.30,Włodawa,519535.50,061901
0.00,4401898.00,Hanna,4401898.00,061902
91904.00,2111556.00,Hańsk,2019652.00,061903
45430.40,2557031.30,Stary Brus,2511600.90,061904
179779.00,2980468.81,Urszulin,2800689.81,061905
71016.00,138567.00,Włodawa,67551.00,061906
86233.00,2679644.76,Wola Uhruska,2593411.76,061907
96446.67,3461568.17,Wyryki,3365121.50,061908
227037.00,2673653.00,Adamów,2446616.00,062001
0.00,5591687.30,Grabowiec,5591687.30,062002
278714.00,6250830.00,Komarów-Osada,5972116.00,062003
225759.00,3272476.97,Krasnobród,3046717.97,062004
469640.80,4331024.40,Łabunie,3861383.60,062005
0.00,4969915.00,Miączyn,4969915.00,062006
237787.00,5701147.00,Nielisz,5463360.00,062007
166348.00,6326972.00,Radecznica,6160624.00,062008
699392.00,5653313.40,Sitno,4953921.40,062009
0.00,3718909.00,Skierbieszów,3718909.00,062010
678163.00,6155902.00,Stary Zamość,5477739.00,062011
236225.00,4959614.00,Sułów,4723389.00,062012
434162.00,4589299.52,Szczebrzeszyn,4155137.52,062013
1569437.80,9076252.80,Zamość,7506815.00,062014
0.00,479119.00,Zwierzyniec,479119.00,062015
126734.96,1202638.91,Biała Podlaska,1075903.95,066101
316041.51,3763695.64,Chełm,3447654.13,066201
1579974.35,7110912.84,Lublin,5530938.49,066301
891563.05,2043877.82,Zamość,1152314.77,066401
56786.30,89727.79,Kostrzyn nad Odrą,32941.49,080101
0.00,950761.00,Bogdaniec,950761.00,080102
297017.00,2113461.05,Deszczno,1816444.05,080103
116348.00,677143.00,Kłodawa,560795.00,080104
116677.00,1316447.00,Lubiszyn,1199770.00,080105
81822.00,1215614.00,Santok,1133792.00,080106
26128.50,559273.50,Witnica,533145.00,080107
